,Tag,SP,SR,SF1,RP,RR,RF1,SP,SR,SF1
0,Adherence,0.34,0.291,0.304,0.678,0.553,0.592,0.78,0.638,0.686
1,Concern,0.451,0.394,0.402,0.52,0.461,0.469,0.594,0.463,0.502
2,Education,0.6,0.548,0.56,0.746,0.66,0.686,0.81,0.715,0.748
3,Employment,0.587,0.619,0.601,0.722,0.756,0.736,0.82,0.813,0.811
4,Financial,0.479,0.59,0.527,0.7,0.852,0.766,0.776,0.87,0.818
5,Healthcare,0.369,0.284,0.308,0.535,0.413,0.445,0.655,0.524,0.561
6,Insurance,0.665,0.591,0.618,0.809,0.703,0.745,0.888,0.764,0.817
7,Literacy,0.297,0.159,0.198,0.642,0.362,0.442,0.707,0.398,0.487
8,Living,0.663,0.704,0.67,0.677,0.723,0.686,0.751,0.771,0.75
9,MentalHealth,0.534,0.54,0.535,0.766,0.872,0.813,0.777,0.854,0.812
10,Recommendation,0.329,0.331,0.328,0.846,0.821,0.828,0.9,0.842,0.866
11,Smoke,0.888,0.916,0.899,0.956,0.982,0.965,0.971,0.982,0.975
12,Social,0.352,0.366,0.353,0.606,0.641,0.613,0.67,0.661,0.656
13,SubstanceUse,0.722,0.686,0.701,0.891,0.873,0.878,0.945,0.878,0.909
14,Transportation,0.645,0.594,0.595,0.759,0.72,0.711,0.834,0.737,0.761
15,Trauma,0.593,0.575,0.58,0.765,0.739,0.748,0.828,0.727,0.77
16,overall,0.492,0.464,0.478,0.694,0.657,0.675,0.77,0.695,0.73
